Unnamed: 0,name,main_category,rating,reviews,categories,address,city,country,state,zipcode,broader_category,Weighted_Score,Weighted_Average,All_Cities,description
976,Ross's Landing,Park,4.7,2378.0,"Park, Tourist attraction","Ross's Landing, 201 Riverfront Pkwy, Chattanooga, TN 37402",Chattanooga,USA,TN,,Nature,11176.6,4.66,"Chattanooga, Knoxville, Memphis, Nashville","Ross's Landing in Chattanooga, TN is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
977,Tennessee Riverpark,Park,4.7,2085.0,"Park, Tourist attraction","Tennessee Riverpark, 4301 Amnicola Hwy, Chattanooga, TN 37402",Chattanooga,USA,TN,,Nature,9799.5,4.66,"Chattanooga, Knoxville, Memphis, Nashville","Tennessee Riverpark in Chattanooga, TN is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
978,Hunter Museum of American Art,Museum,4.7,1772.0,"Museum, Art museum, Tourist attraction","Hunter Museum of American Art, 10 Bluff View Ave, Chattanooga, TN 37403",Chattanooga,USA,TN,,Cultural,8328.4,4.61,"Chattanooga, Knoxville, Memphis, Nashville","Hunter Museum of American Art in Chattanooga, TN offers a rich cultural experience, showcasing local heritage and history."
979,Enterprise South Nature Park,Park,4.8,1617.0,"Park, Hiking area, Tourist attraction","Enterprise South Nature Park, 190 Still Hollow Loop Road, Chattanooga, TN 37416",Chattanooga,USA,TN,,Nature,7761.599999999999,4.66,"Chattanooga, Knoxville, Memphis, Nashville","Enterprise South Nature Park in Chattanooga, TN is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
980,Sculpture Fields at Montague Park,Tourist attraction,4.5,911.0,"Tourist attraction, Sculpture","Sculpture Fields at Montague Park, 1800 Polk St, Chattanooga, TN 37408",Chattanooga,USA,TN,,Entertainment,4099.5,4.56,"Chattanooga, Knoxville, Memphis, Nashville","Sculpture Fields at Montague Park in Chattanooga, TN is a fun-filled destination with exciting activities and entertainment options."
981,Renaissance Park,Park,4.7,842.0,"Park, Tourist attraction","Renaissance Park, 133 River St, Chattanooga, TN 37405",Chattanooga,USA,TN,,Nature,3957.4,4.66,"Chattanooga, Knoxville, Memphis, Nashville","Renaissance Park in Chattanooga, TN is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
982,East Lake Park (Duck Pond),Park,4.3,720.0,"Park, Tourist attraction","East Lake Park (Duck Pond), 3000 E 34th St, Chattanooga, TN 37407",Chattanooga,USA,TN,,Nature,3096.0,4.66,"Chattanooga, Knoxville, Memphis, Nashville","East Lake Park (Duck Pond) in Chattanooga, TN is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
983,SOAKya Water Park,Water park,4.3,705.0,"Water park, Tourist attraction","SOAKya Water Park, 1730 Lakeview Dr, Rossville, GA 30741",Chattanooga,USA,GA,,Entertainment,3031.5,4.59,"Atlanta, Augusta, Chattanooga, Savannah","SOAKya Water Park in Chattanooga, GA is a fun-filled destination with exciting activities and entertainment options."
984,The Coker Museum,Museum,4.9,616.0,Museum,"The Coker Museum, 1309 Chestnut St, Chattanooga, TN 37402",Chattanooga,USA,TN,,Cultural,3018.4,4.61,"Chattanooga, Knoxville, Memphis, Nashville","The Coker Museum in Chattanooga, TN offers a rich cultural experience, showcasing local heritage and history."
985,Cravens House,Historical landmark,4.6,514.0,"Historical landmark, Hiking area, Historical place museum, Museum, Tourist attraction","Cravens House, Cravens Terrace, Lookout Mountain, TN 37350",Chattanooga,USA,TN,,Cultural,2364.4,4.61,"Chattanooga, Knoxville, Memphis, Nashville","Cravens House in Chattanooga, TN offers a rich cultural experience, showcasing local heritage and history."
986,Bessie Smith Cultural Center and Chattanooga African American Museum,Museum,4.6,501.0,"Museum, Arts organization, Event venue, Tourist attraction","Bessie Smith Cultural Center and Chattanooga African American Museum, 200 E M L King Blvd, Chattanooga, TN 37403",Chattanooga,USA,TN,,Cultural,2304.6,4.61,"Chattanooga, Knoxville, Memphis, Nashville","Bessie Smith Cultural Center and Chattanooga African American Museum in Chattanooga, TN offers a rich cultural experience, showcasing local heritage and history."
987,Chattanooga Ghost Tours Inc,Tourist attraction,4.6,484.0,"Tourist attraction, Tour operator","Chattanooga Ghost Tours Inc, 57 E 5th St, Chattanooga, TN 37402",Chattanooga,USA,TN,,Entertainment,2226.4,4.56,"Chattanooga, Knoxville, Memphis, Nashville","Chattanooga Ghost Tours Inc in Chattanooga, TN is a fun-filled destination with exciting activities and entertainment options."
988,Glen Falls,Scenic spot,4.8,454.0,"Scenic spot, Tourist attraction","Glen Falls, Chattanooga, TN 37409",Chattanooga,USA,TN,,Nature,2179.2,4.66,"Chattanooga, Knoxville, Memphis, Nashville","Glen Falls in Chattanooga, TN is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
989,Audubon Acres,Nature preserve,4.5,417.0,"Nature preserve, Bird watching area, Hiking area, Park, Tourist attraction, Wildlife refuge","Audubon Acres, 900 N Sanctuary Rd, Chattanooga, TN 37421",Chattanooga,USA,TN,,Nature,1876.5,4.66,"Chattanooga, Knoxville, Memphis, Nashville","Audubon Acres in Chattanooga, TN is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
990,Bluff View Art District,Historical landmark,4.6,371.0,"Historical landmark, Art gallery, Bakery, Coffee shop, Inn, Restaurant, Tourist attraction","Bluff View Art District, 411 E 2nd St, Chattanooga, TN 37403",Chattanooga,USA,TN,,Cultural,1706.6,4.61,"Chattanooga, Knoxville, Memphis, Nashville","Bluff View Art District in Chattanooga, TN offers a rich cultural experience, showcasing local heritage and history."
991,Stringers Ridge Park,Park,4.5,341.0,"Park, Tourist attraction","Stringers Ridge Park, Spears Ave, Chattanooga, TN 37405",Chattanooga,USA,TN,,Nature,1534.5,4.66,"Chattanooga, Knoxville, Memphis, Nashville","Stringers Ridge Park in Chattanooga, TN is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
992,Battles For Chattanooga Museum,Museum,4.4,325.0,"Museum, Tourist attraction","Battles For Chattanooga Museum, 1110 E Brow Rd, Lookout Mountain, TN 37350",Chattanooga,USA,TN,,Cultural,1430.0000000000002,4.61,"Chattanooga, Knoxville, Memphis, Nashville","Battles For Chattanooga Museum in Chattanooga, TN offers a rich cultural experience, showcasing local heritage and history."
993,Blue Goose Hollow Trailhead,Park,4.7,270.0,"Park, Tourist attraction","Blue Goose Hollow Trailhead, 935 Riverfront Pkwy, Chattanooga, TN 37402",Chattanooga,USA,TN,,Nature,1269.0,4.66,"Chattanooga, Knoxville, Memphis, Nashville","Blue Goose Hollow Trailhead in Chattanooga, TN is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
994,National Medal of Honor Heritage Center,Museum,4.9,233.0,"Museum, History museum, Tourist attraction","National Medal of Honor Heritage Center, 2 W Aquarium Way Suite 104, Chattanooga, TN 37402",Chattanooga,USA,TN,,Cultural,1141.7,4.61,"Chattanooga, Knoxville, Memphis, Nashville","National Medal of Honor Heritage Center in Chattanooga, TN offers a rich cultural experience, showcasing local heritage and history."
995,Warner Park,Park,4.6,189.0,"Park, Tourist attraction","Warner Park, 301 N Holtzclaw Ave, Chattanooga, TN 37404",Chattanooga,USA,TN,,Nature,869.4,4.66,"Chattanooga, Knoxville, Memphis, Nashville","Warner Park in Chattanooga, TN is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
996,Lookout Mountain Civil War Battlefield,Historical landmark,4.7,131.0,"Historical landmark, Tourist attraction","Lookout Mountain Civil War Battlefield, 110 Point Park Rd, Lookout Mountain, TN 37350",Chattanooga,USA,TN,,Cultural,615.7,4.61,"Chattanooga, Knoxville, Memphis, Nashville","Lookout Mountain Civil War Battlefield in Chattanooga, TN offers a rich cultural experience, showcasing local heritage and history."
997,John A Patten Park,Park,4.4,99.0,"Park, Tourist attraction","John A Patten Park, 3202 Kellys Ferry Rd, Chattanooga, TN 37419",Chattanooga,USA,TN,,Nature,435.6,4.66,"Chattanooga, Knoxville, Memphis, Nashville","John A Patten Park in Chattanooga, TN is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
998,Bragg Reservation - National Military Park,Tourist attraction,4.7,94.0,"Tourist attraction, Park","Bragg Reservation - National Military Park, 3136 S Crest Pl, Chattanooga, TN 37404",Chattanooga,USA,TN,,Entertainment,441.8,4.56,"Chattanooga, Knoxville, Memphis, Nashville","Bragg Reservation - National Military Park in Chattanooga, TN is a fun-filled destination with exciting activities and entertainment options."
999,Orchard Knob Reservation,Park,4.5,83.0,"Park, Tourist attraction","Orchard Knob Reservation, 306 N Orchard Knob Ave, Chattanooga, TN 37404",Chattanooga,USA,TN,,Nature,373.5,4.66,"Chattanooga, Knoxville, Memphis, Nashville","Orchard Knob Reservation in Chattanooga, TN is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
1000,Sunset Rock,Park,4.8,940.0,"Park, Tourist attraction","Sunset Rock, 405 W Brow Rd, Lookout Mountain, TN 37350",Chattanooga,USA,TN,,Nature,4512.0,4.66,"Chattanooga, Knoxville, Memphis, Nashville","Sunset Rock in Chattanooga, TN is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
1001,Snooper's Rock,Tourist attraction,4.9,308.0,Tourist attraction,"Snooper's Rock, Game Reserve Rd, Chattanooga, TN 37405",Chattanooga,USA,TN,,Entertainment,1509.2,4.56,"Chattanooga, Knoxville, Memphis, Nashville","Snooper's Rock in Chattanooga, TN is a fun-filled destination with exciting activities and entertainment options."
1002,Riverview Park,Park,4.6,201.0,"Park, Tourist attraction","Riverview Park, 1857 Riverview Rd, Chattanooga, TN 37405",Chattanooga,USA,TN,,Nature,924.6,4.66,"Chattanooga, Knoxville, Memphis, Nashville","Riverview Park in Chattanooga, TN is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
1003,John C. Wilson Memorial Park,Park,4.6,86.0,"Park, Tourist attraction","John C. Wilson Memorial Park, 2010 Cummings Hwy, Chattanooga, TN 37419",Chattanooga,USA,TN,,Nature,395.6,4.66,"Chattanooga, Knoxville, Memphis, Nashville","John C. Wilson Memorial Park in Chattanooga, TN is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
1004,Flying Saucer House,Historical landmark,4.5,56.0,Historical landmark,"Flying Saucer House, 1408 S Palisades Dr, Signal Mountain, TN 37377",Chattanooga,USA,TN,,Cultural,252.0,4.61,"Chattanooga, Knoxville, Memphis, Nashville","Flying Saucer House in Chattanooga, TN offers a rich cultural experience, showcasing local heritage and history."
1005,Cardboard Hill,Tourist attraction,4.8,53.0,Tourist attraction,"Cardboard Hill, Chattanooga, TN 37405",Chattanooga,USA,TN,,Entertainment,254.4,4.56,"Chattanooga, Knoxville, Memphis, Nashville","Cardboard Hill in Chattanooga, TN is a fun-filled destination with exciting activities and entertainment options."
1006,Millennium Park,Park,4.7,80147.0,"Park, Tourist attraction","Millennium Park, Chicago, IL 60602",Chicago,USA,IL,,Nature,376690.9,4.71,"Chicago, St-louis","Millennium Park in Chicago, IL is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
1007,Navy Pier,Tourist attraction,4.6,75211.0,"Tourist attraction, Amusement center, Cultural center, Event venue, Ferris wheel","Navy Pier, 600 E Grand Ave, Chicago, IL 60611",Chicago,USA,IL,,Entertainment,345970.6,4.62,"Chicago, St-louis","Navy Pier in Chicago, IL is a fun-filled destination with exciting activities and entertainment options."
1008,Lincoln Park Zoo,Zoo,4.6,32696.0,"Zoo, Tourist attraction","Lincoln Park Zoo, Chicago, IL 60614",Chicago,USA,IL,,Entertainment,150401.59999999998,4.62,"Chicago, St-louis","Lincoln Park Zoo in Chicago, IL is a fun-filled destination with exciting activities and entertainment options."
1009,The Art Institute of Chicago,Museum,4.8,32285.0,"Museum, Art museum, Tourist attraction","The Art Institute of Chicago, 111 S Michigan Ave, Chicago, IL 60603",Chicago,USA,IL,,Cultural,154968.0,4.72,"Chicago, St-louis","The Art Institute of Chicago in Chicago, IL offers a rich cultural experience, showcasing local heritage and history."
1010,Shedd Aquarium,Aquarium,4.6,29702.0,"Aquarium, Historical landmark, Learning center, Tourist attraction","Shedd Aquarium, 1200 S DuSable Lake Shore Dr, Chicago, IL 60605",Chicago,USA,IL,,Entertainment,136629.19999999998,4.62,"Chicago, St-louis","Shedd Aquarium in Chicago, IL is a fun-filled destination with exciting activities and entertainment options."
1011,Museum Campus,Museum,4.7,25786.0,"Museum, Historical landmark, History museum, Park, Tourist attraction","Museum Campus, 337 E Randolph St, Chicago, IL 60601",Chicago,USA,IL,,Cultural,121194.2,4.72,"Chicago, St-louis","Museum Campus in Chicago, IL offers a rich cultural experience, showcasing local heritage and history."
1012,Willis Tower,Tourist attraction,4.5,21310.0,"Tourist attraction, Corporate office, Observation deck","Willis Tower, 233 S Wacker Dr, Chicago, IL 60606",Chicago,USA,IL,,Entertainment,95895.0,4.62,"Chicago, St-louis","Willis Tower in Chicago, IL is a fun-filled destination with exciting activities and entertainment options."
1013,875 North Michigan Avenue,Tourist attraction,4.7,18926.0,Tourist attraction,"875 North Michigan Avenue, 875 N Michigan Ave, Chicago, IL 60611",Chicago,USA,IL,,Entertainment,88952.2,4.62,"Chicago, St-louis","875 North Michigan Avenue in Chicago, IL is a fun-filled destination with exciting activities and entertainment options."
1014,Riverwalk,Tourist attraction,4.8,16721.0,Tourist attraction,"Riverwalk, 22 E Wacker Dr, Chicago, IL 60601",Chicago,USA,IL,,Entertainment,80260.8,4.62,"Chicago, St-louis","Riverwalk in Chicago, IL is a fun-filled destination with exciting activities and entertainment options."
1015,Garfield Park Conservatory,Park,4.8,9084.0,"Park, Botanical garden, Tourist attraction","Garfield Park Conservatory, 300 N Central Park Ave, Chicago, IL 60624",Chicago,USA,IL,,Nature,43603.2,4.71,"Chicago, St-louis","Garfield Park Conservatory in Chicago, IL is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
1016,Maggie Daley Park,Park,4.7,8262.0,"Park, Tourist attraction","Maggie Daley Park, 337 E Randolph St, Chicago, IL 60601",Chicago,USA,IL,,Nature,38831.4,4.71,"Chicago, St-louis","Maggie Daley Park in Chicago, IL is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
1017,Jackson (Andrew) Park,Park,4.6,7137.0,"Park, Tourist attraction","Jackson (Andrew) Park, 6401 S Stony Is Ave, Chicago, IL 60637",Chicago,USA,IL,,Nature,32830.2,4.71,"Chicago, St-louis","Jackson (Andrew) Park in Chicago, IL is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
1018,Museum Of Contemporary Art Chicago,Art museum,4.4,5745.0,"Art museum, Modern art museum, Museum, Tourist attraction","Museum Of Contemporary Art Chicago, 220 E Chicago Ave, Chicago, IL 60611",Chicago,USA,IL,,Cultural,25278.000000000004,4.72,"Chicago, St-louis","Museum Of Contemporary Art Chicago in Chicago, IL offers a rich cultural experience, showcasing local heritage and history."
1019,Medieval Torture Museum,Museum,4.9,3846.0,"Museum, History museum, Tourist attraction","Medieval Torture Museum, 177 N State St, Chicago, IL 60601",Chicago,USA,IL,,Cultural,18845.4,4.72,"Chicago, St-louis","Medieval Torture Museum in Chicago, IL offers a rich cultural experience, showcasing local heritage and history."
1020,Humboldt (Alexander Von) Park,Park,4.7,3511.0,"Park, Tourist attraction","Humboldt (Alexander Von) Park, 1400 N Humboldt Dr, Chicago, IL 60622",Chicago,USA,IL,,Nature,16501.7,4.71,"Chicago, St-louis","Humboldt (Alexander Von) Park in Chicago, IL is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
1021,Chicago History Museum,History museum,4.6,2321.0,"History museum, Cultural center, Local history museum, Museum, Tourist attraction","Chicago History Museum, 1601 N Clark St, Chicago, IL 60614",Chicago,USA,IL,,Cultural,10676.6,4.72,"Chicago, St-louis","Chicago History Museum in Chicago, IL offers a rich cultural experience, showcasing local heritage and history."
1022,The Merchandise Mart,Historical landmark,4.5,2271.0,"Historical landmark, Tourist attraction","The Merchandise Mart, 222 W Merchandise Mart Plaza, Chicago, IL 60654",Chicago,USA,IL,,Cultural,10219.5,4.72,"Chicago, St-louis","The Merchandise Mart in Chicago, IL offers a rich cultural experience, showcasing local heritage and history."
1023,Oz Park,Park,4.7,1923.0,"Park, Tourist attraction","Oz Park, 2021 N Burling St, Chicago, IL 60614",Chicago,USA,IL,,Nature,9038.1,4.71,"Chicago, St-louis","Oz Park in Chicago, IL is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
1024,The 606,Hiking area,4.8,1770.0,"Hiking area, Park, Tourist attraction","The 606, 1805 N Ridgeway Ave, Chicago, IL 60647",Chicago,USA,IL,,Nature,8496.0,4.71,"Chicago, St-louis","The 606 in Chicago, IL is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
1025,Holy Name Cathedral,Catholic church,4.8,1665.0,"Catholic church, Catholic cathedral, Parish, Tourist attraction","Holy Name Cathedral, 735 N State St, Chicago, IL 60654",Chicago,USA,IL,,Religious,7992.0,4.8,"Chicago, St-louis","Holy Name Cathedral in Chicago, IL is a spiritual site known for its architecture and peaceful ambiance."
1026,Northerly Island Park,Park,4.7,1585.0,"Park, Tourist attraction","Northerly Island Park, 1521 S Linn White Dr, Chicago, IL 60605",Chicago,USA,IL,,Nature,7449.5,4.71,"Chicago, St-louis","Northerly Island Park in Chicago, IL is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
1027,Centennial Wheel,Tourist attraction,4.6,1523.0,Tourist attraction,"Centennial Wheel, Chicago, IL 60611",Chicago,USA,IL,,Entertainment,7005.799999999999,4.62,"Chicago, St-louis","Centennial Wheel in Chicago, IL is a fun-filled destination with exciting activities and entertainment options."
1028,Riverwalk - 100 W,Scenic spot,4.8,1331.0,"Scenic spot, Park","Riverwalk - 100 W, 100 W Wacker Dr, Chicago, IL 60601",Chicago,USA,IL,,Nature,6388.8,4.71,"Chicago, St-louis","Riverwalk - 100 W in Chicago, IL is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
1029,Adler Planetarium Skyline Walk,Scenic spot,4.8,1049.0,Scenic spot,"Adler Planetarium Skyline Walk, 517 E Solidarity Dr, Chicago, IL 60605",Chicago,USA,IL,,Nature,5035.2,4.71,"Chicago, St-louis","Adler Planetarium Skyline Walk in Chicago, IL is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
1030,Color Factory Chicago,Art museum,4.8,969.0,"Art museum, Amusement center, Amusement park, Children's amusement center, Children's museum, Event venue, Museum, Theme park, Tourist attraction","Color Factory Chicago, 320 W Jackson Blvd Lower Level 2, Chicago, IL 60606",Chicago,USA,IL,,Cultural,4651.2,4.72,"Chicago, St-louis","Color Factory Chicago in Chicago, IL offers a rich cultural experience, showcasing local heritage and history."
1031,The Richard H. Driehaus Museum,Museum,4.7,901.0,"Museum, Art museum, Historical landmark, Tourist attraction","The Richard H. Driehaus Museum, 40 E Erie St, Chicago, IL 60611",Chicago,USA,IL,,Cultural,4234.7,4.72,"Chicago, St-louis","The Richard H. Driehaus Museum in Chicago, IL offers a rich cultural experience, showcasing local heritage and history."
1032,Tribune Tower,Historical landmark,4.6,774.0,"Historical landmark, Tourist attraction","Tribune Tower, 435 Michigan Ave, Chicago, IL 60611",Chicago,USA,IL,,Cultural,3560.4,4.72,"Chicago, St-louis","Tribune Tower in Chicago, IL offers a rich cultural experience, showcasing local heritage and history."
1033,American Writers Museum,Museum,4.7,707.0,"Museum, Tourist attraction","American Writers Museum, 180 North Michigan Ave, Chicago, IL 60601",Chicago,USA,IL,,Cultural,3322.9,4.72,"Chicago, St-louis","American Writers Museum in Chicago, IL offers a rich cultural experience, showcasing local heritage and history."
1034,Washington Square Park,Park,4.6,687.0,"Park, Tourist attraction","Washington Square Park, 901 N Clark St, Chicago, IL 60610",Chicago,USA,IL,,Nature,3160.2,4.71,"Chicago, St-louis","Washington Square Park in Chicago, IL is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
1035,Lake Shore Park,Park,4.6,603.0,"Park, Tourist attraction","Lake Shore Park, 808 N Lake Shore Dr, Chicago, IL 60611",Chicago,USA,IL,,Nature,2773.8,4.71,"Chicago, St-louis","Lake Shore Park in Chicago, IL is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
1036,Chicago Sports Museum,Museum,4.5,530.0,"Museum, Event venue, Tourist attraction, Wedding venue","Chicago Sports Museum, 835 N Michigan Ave, Chicago, IL 60611",Chicago,USA,IL,,Cultural,2385.0,4.72,"Chicago, St-louis","Chicago Sports Museum in Chicago, IL offers a rich cultural experience, showcasing local heritage and history."
1037,Lakeshore East Park,Park,4.8,511.0,"Park, Dog park, Tourist attraction","Lakeshore East Park, 450 E Benton Pl, Chicago, IL 60601",Chicago,USA,IL,,Nature,2452.8,4.71,"Chicago, St-louis","Lakeshore East Park in Chicago, IL is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
1038,Milton Lee Olive Park,Park,4.8,469.0,"Park, Tourist attraction","Milton Lee Olive Park, E Ohio St, Chicago, IL 60611",Chicago,USA,IL,,Nature,2251.2,4.71,"Chicago, St-louis","Milton Lee Olive Park in Chicago, IL is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
1039,Flyover,Tourist attraction,4.8,466.0,Tourist attraction,"Flyover, 600 E Grand Ave, Chicago, IL 60611",Chicago,USA,IL,,Entertainment,2236.8,4.62,"Chicago, St-louis","Flyover in Chicago, IL is a fun-filled destination with exciting activities and entertainment options."
1040,Greetings From Chicago Mural,Tourist attraction,4.7,428.0,Tourist attraction,"Greetings From Chicago Mural, 2226 N Milwaukee Ave, Chicago, IL 60647",Chicago,USA,IL,,Entertainment,2011.6,4.62,"Chicago, St-louis","Greetings From Chicago Mural in Chicago, IL is a fun-filled destination with exciting activities and entertainment options."
1041,Chicago's Chinatown Gateway,Historical landmark,4.3,373.0,"Historical landmark, Tourist attraction","Chicago's Chinatown Gateway, 2206 S Wentworth Ave, Chicago, IL 60616",Chicago,USA,IL,,Cultural,1603.9,4.72,"Chicago, St-louis","Chicago's Chinatown Gateway in Chicago, IL offers a rich cultural experience, showcasing local heritage and history."
1042,Institute for the Study of Ancient Cultures Museum,Archaeological museum,4.8,366.0,"Archaeological museum, Art museum, History museum, Research institute, Tourist attraction","Institute for the Study of Ancient Cultures Museum, 1155 E 58th St, Chicago, IL 60637",Chicago,USA,IL,,Cultural,1756.8,4.72,"Chicago, St-louis","Institute for the Study of Ancient Cultures Museum in Chicago, IL offers a rich cultural experience, showcasing local heritage and history."
1043,Chicago Murder Mystery Tour,Tourist attraction,5.0,341.0,Tourist attraction,"Chicago Murder Mystery Tour, 806 N Michigan Ave, Chicago, IL 60611",Chicago,USA,IL,,Entertainment,1705.0,4.62,"Chicago, St-louis","Chicago Murder Mystery Tour in Chicago, IL is a fun-filled destination with exciting activities and entertainment options."
1044,Chinese American Museum of Chicago,Museum,4.6,281.0,"Museum, History museum, Tourist attraction","Chinese American Museum of Chicago, 238 W 23rd St, Chicago, IL 60616",Chicago,USA,IL,,Cultural,1292.6,4.72,"Chicago, St-louis","Chinese American Museum of Chicago in Chicago, IL offers a rich cultural experience, showcasing local heritage and history."
1045,The Jetty | Riverwalk,Park,4.8,266.0,"Park, Tourist attraction","The Jetty | Riverwalk, 260 W Wacker Dr, Chicago, IL 60606",Chicago,USA,IL,,Nature,1276.8,4.71,"Chicago, St-louis","The Jetty | Riverwalk in Chicago, IL is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
1046,Lurie Garden,Garden,4.8,234.0,"Garden, Tourist attraction","Lurie Garden, 220 E Monroe St, Chicago, IL 60601",Chicago,USA,IL,,Nature,1123.2,4.71,"Chicago, St-louis","Lurie Garden in Chicago, IL is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
1047,McCormick Bridgehouse & Chicago River Museum,Museum,4.5,200.0,"Museum, Tourist attraction","McCormick Bridgehouse & Chicago River Museum, 99 Chicago Riverwalk, Chicago, IL 60601",Chicago,USA,IL,,Cultural,900.0,4.72,"Chicago, St-louis","McCormick Bridgehouse & Chicago River Museum in Chicago, IL offers a rich cultural experience, showcasing local heritage and history."
1048,Glessner House,Museum,4.6,200.0,"Museum, Tourist attraction","Glessner House, 1800 S Prairie Ave, Chicago, IL 60616",Chicago,USA,IL,,Cultural,920.0,4.72,"Chicago, St-louis","Glessner House in Chicago, IL offers a rich cultural experience, showcasing local heritage and history."
1049,Walt Disney Birthplace Home,Tourist attraction,4.4,193.0,Tourist attraction,"Walt Disney Birthplace Home, 2156 N Tripp Ave, Chicago, IL 60639",Chicago,USA,IL,,Entertainment,849.2,4.62,"Chicago, St-louis","Walt Disney Birthplace Home in Chicago, IL is a fun-filled destination with exciting activities and entertainment options."
1050,Chicago Harbor Lighthouse,Historical landmark,4.8,117.0,"Historical landmark, Tourist attraction","Chicago Harbor Lighthouse, Chicago Harbor, Chicago, IL 60603",Chicago,USA,IL,,Cultural,561.6,4.72,"Chicago, St-louis","Chicago Harbor Lighthouse in Chicago, IL offers a rich cultural experience, showcasing local heritage and history."
1051,Kovler Lion House and Pepper Family Wildlife Center,Zoo,4.8,61.0,"Zoo, Tourist attraction","Kovler Lion House and Pepper Family Wildlife Center, 2101 N Lincoln Park W, Chicago, IL 60614",Chicago,USA,IL,,Entertainment,292.8,4.62,"Chicago, St-louis","Kovler Lion House and Pepper Family Wildlife Center in Chicago, IL is a fun-filled destination with exciting activities and entertainment options."
1052,Nature Boardwalk at Lincoln Park Zoo,Zoo,4.8,775.0,"Zoo, Garden, Park, Tourist attraction","Nature Boardwalk at Lincoln Park Zoo, 2121 N Stockton Dr, Chicago, IL 60614",Chicago,USA,IL,,Entertainment,3720.0,4.62,"Chicago, St-louis","Nature Boardwalk at Lincoln Park Zoo in Chicago, IL is a fun-filled destination with exciting activities and entertainment options."
1053,Millennium Monument,Monument,4.7,274.0,"Monument, Tourist attraction","Millennium Monument, 201 E Randolph St, Chicago, IL 60601",Chicago,USA,IL,,Cultural,1287.8,4.72,"Chicago, St-louis","Millennium Monument in Chicago, IL offers a rich cultural experience, showcasing local heritage and history."
1054,Wrigley Square,Park,4.7,68.0,"Park, Tourist attraction","Wrigley Square, 201 E Randolph St, Chicago, IL 60601",Chicago,USA,IL,,Nature,319.6,4.71,"Chicago, St-louis","Wrigley Square in Chicago, IL is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
1055,Wings of Mexico,Tourist attraction,4.8,68.0,Tourist attraction,"Wings of Mexico, 410 Michigan Ave #800, Chicago, IL 60611",Chicago,USA,IL,,Entertainment,326.4,4.62,"Chicago, St-louis","Wings of Mexico in Chicago, IL is a fun-filled destination with exciting activities and entertainment options."
1056,Great Lawn,Park,4.7,55.0,"Park, Tourist attraction","Great Lawn, Chicago, IL 60601",Chicago,USA,IL,,Nature,258.5,4.71,"Chicago, St-louis","Great Lawn in Chicago, IL is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
1057,SeaWorld San Diego,Theme park,4.4,46717.0,"Theme park, Amusement park, Tourist attraction","SeaWorld San Diego, 500 Sea World Dr., San Diego, CA 92109",San-diego,USA,CA,,Entertainment,205554.8,4.54,"Los-angeles, Sacramento, San-diego, San-francisco","SeaWorld San Diego in San-diego, CA is a fun-filled destination with exciting activities and entertainment options."
1058,Balboa Park,Park,4.8,72291.0,"Park, History museum, Tourist attraction","Balboa Park, San Diego, CA",San-diego,USA,CA,,Nature,346996.8,4.72,"Los-angeles, Sacramento, San-diego, San-francisco","Balboa Park in San-diego, CA is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
1059,Mission Bay Park,Water park,4.6,24703.0,"Water park, Tourist attraction","Mission Bay Park, San Diego, CA 92109",San-diego,USA,CA,,Entertainment,113633.8,4.54,"Los-angeles, Sacramento, San-diego, San-francisco","Mission Bay Park in San-diego, CA is a fun-filled destination with exciting activities and entertainment options."
